,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yhat
0,2018-03-31 21:59:59,675852.0529420156,675852.0529420155,675852.0529420155,667398.1634107663,689303.7159506198,2724.5964485045065,2724.5964485045065,2724.5964485045065,2724.5964485045065,2724.5964485045065,2724.5964485045065,2724.5964485045065,2724.5964485045065,2724.5964485045065,678576.6493905201
1,2018-03-31 22:59:57,675960.9493390431,675960.9493390431,675960.9493390431,668877.6685396523,691209.4909031384,4141.567469557487,4141.567469557487,4141.567469557487,4141.567469557487,4141.567469557487,4141.567469557487,4141.567469557487,4141.567469557487,4141.567469557487,680102.5168086006
2,2018-03-31 23:59:58,676069.9365335114,676069.9365335114,676069.9365335114,670841.222170433,692063.9782169233,5247.895312434857,5247.895312434857,5247.895312434857,5247.895312434857,5247.895312434857,5247.895312434857,5247.895312434857,5247.895312434857,5247.895312434857,681317.8318459463
3,2018-04-01 00:59:58,676178.8934621661,676178.8934621661,676178.8934621661,671531.7879001725,693545.3111061868,5898.294094329464,5898.294094329464,5898.294094329464,5898.294094329464,5898.294094329464,5898.294094329464,5898.294094329464,5898.294094329464,5898.294094329464,682077.1875564955
4,2018-04-01 01:59:59,676287.8806566342,676287.8806566342,676287.8806566342,671423.0048091309,693205.7568324432,5967.279961824321,5967.279961824321,5967.279961824321,5967.279961824321,5967.279961824321,5967.279961824321,5967.279961824321,5967.279961824321,5967.279961824321,682255.1606184585
5,2018-04-01 02:59:59,676396.8375852889,676396.8375852889,676396.8375852889,670740.0127352417,692911.771871301,5462.155193546708,5462.155193546708,5462.155193546708,5462.155193546708,5462.155193546708,5462.155193546708,5462.155193546708,5462.155193546708,5462.155193546708,681858.9927788356
6,2018-04-01 03:59:59,676505.7945139435,676505.7945139435,676505.7945139435,669889.5985048154,691498.1958969414,4552.355746138901,4552.355746138901,4552.355746138901,4552.355746138901,4552.355746138901,4552.355746138901,4552.355746138901,4552.355746138901,4552.355746138901,681058.1502600824
7,2018-04-01 04:59:59,676614.7514425982,676614.7514425982,676614.7514425982,669385.1488516154,691783.1492106393,3434.86181403051,3434.86181403051,3434.86181403051,3434.86181403051,3434.86181403051,3434.86181403051,3434.86181403051,3434.86181403051,3434.86181403051,680049.6132566287
8,2018-04-01 05:59:59,676723.7083823021,676723.7083823021,676723.7083823021,668610.8925676417,690201.64506906,2155.0889301936436,2155.0889301936436,2155.0889301936436,2155.0889301936436,2155.0889301936436,2155.0889301936436,2155.0889301936436,2155.0889301936436,2155.0889301936436,678878.7973124958
9,2018-04-01 06:59:46,676832.2718663905,676832.2718663905,676832.2718663905,666723.0883331215,688737.9443920461,595.21104168339,595.21104168339,595.21104168339,595.21104168339,595.21104168339,595.21104168339,595.21104168339,595.21104168339,595.21104168339,677427.4829080739
10,2018-04-01 07:59:55,676941.5011984436,676941.5011984436,676941.5011984436,665053.0283042467,686594.032048513,-1345.2025193061986,-1345.2025193061986,-1345.2025193061986,-1345.2025193061986,-1345.2025193061986,-1345.2025193061986,-1345.2025193061986,-1345.2025193061986,-1345.2025193061986,675596.2986791374
11,2018-04-01 08:59:59,677050.5792014139,677050.5792014139,677050.5792014139,661947.924966147,684554.5634596824,-3438.0290240199806,-3438.0290240199806,-3438.0290240199806,-3438.0290240199806,-3438.0290240199806,-3438.0290240199806,-3438.0290240199806,-3438.0290240199806,-3438.0290240199806,673612.550177394
12,2018-04-01 09:59:59,677159.5361411178,677159.5361411178,677159.5361411178,661360.3560290224,682688.8543256512,-5135.994148718647,-5135.994148718647,-5135.994148718647,-5135.994148718647,-5135.994148718647,-5135.994148718647,-5135.994148718647,-5135.994148718647,-5135.994148718647,672023.5419923991
13,2018-04-01 10:59:59,677268.4930808217,677268.4930808217,677268.4930808217,660230.1102232356,681948.6004547136,-5864.018905170208,-5864.018905170208,-5864.018905170208,-5864.018905170208,-5864.018905170208,-5864.018905170208,-5864.018905170208,-5864.018905170208,-5864.018905170208,671404.4741756514
14,2018-04-01 11:59:59,677377.4500205257,677377.4500205257,677377.4500205257,661182.2897700319,682720.6317505548,-5437.930830306648,-5437.930830306648,-5437.930830306648,-5437.930830306648,-5437.930830306648,-5437.930830306648,-5437.930830306648,-5437.930830306648,-5437.930830306648,671939.5191902191
15,2018-04-01 12:59:59,677486.4069602295,677486.4069602295,677486.4069602295,662344.3479668797,683643.630355807,-4256.465873295513,-4256.465873295513,-4256.465873295513,-4256.465873295513,-4256.465873295513,-4256.465873295513,-4256.465873295513,-4256.465873295513,-4256.465873295513,673229.941086934
16,2018-04-01 13:59:59,678598.0421791075,678598.0421791075,678598.0421791075,664839.0867586653,686225.3856772013,-3065.6338413104354,-3065.6338413104354,-3065.6338413104354,-3065.6338413104354,-3065.6338413104354,-3065.6338413104354,-3065.6338413104354,-3065.6338413104354,-3065.6338413104354,675532.4083377972
17,2018-04-01 14:59:59,679709.6773979855,679709.6773979855,679709.6773979855,666194.1495458985,687997.5806776588,-2459.2454431124543,-2459.2454431124543,-2459.2454431124543,-2459.2454431124543,-2459.2454431124543,-2459.2454431124543,-2459.2454431124543,-2459.2454431124543,-2459.2454431124543,677250.431954873
18,2018-04-01 15:59:59,680821.3126168635,680821.3126168635,680821.3126168635,667522.8212540396,688585.921965824,-2501.7188778224477,-2501.7188778224477,-2501.7188778224477,-2501.7188778224477,-2501.7188778224477,-2501.7188778224477,-2501.7188778224477,-2501.7188778224477,-2501.7188778224477,678319.5937390411
19,2018-04-01 16:59:58,681932.6390481807,681932.6390481807,681932.6390481807,667756.6134661247,689959.7156192999,-2753.873651163577,-2753.873651163577,-2753.873651163577,-2753.873651163577,-2753.873651163577,-2753.873651163577,-2753.873651163577,-2753.873651163577,-2753.873651163577,679178.7653970171
20,2018-04-01 17:59:59,683044.5830546195,683044.5830546195,683044.5830546195,669057.398715136,691449.2166180153,-2645.337350434445,-2645.337350434445,-2645.337350434445,-2645.337350434445,-2645.337350434445,-2645.337350434445,-2645.337350434445,-2645.337350434445,-2645.337350434445,680399.2457041851
21,2018-04-01 18:59:54,684154.6743356935,684154.6743356935,684154.6743356935,671439.9307978718,692857.8968674634,-1871.5825661562058,-1871.5825661562058,-1871.5825661562058,-1871.5825661562058,-1871.5825661562058,-1871.5825661562058,-1871.5825661562058,-1871.5825661562058,-1871.5825661562058,682283.0917695373
22,2018-04-01 19:59:59,685267.8534923753,685267.8534923753,685267.8534923753,674114.0804151243,695712.178178228,-513.3369115424307,-513.3369115424307,-513.3369115424307,-513.3369115424307,-513.3369115424307,-513.3369115424307,-513.3369115424307,-513.3369115424307,-513.3369115424307,684754.5165808329
23,2018-04-01 20:59:59,686414.2469761609,686414.2469761609,686414.2469761609,676022.6104571812,697970.7334521962,1115.1520442168955,1115.1520442168955,1115.1520442168955,1115.1520442168955,1115.1520442168955,1115.1520442168955,1115.1520442168955,1115.1520442168955,1115.1520442168955,687529.3990203778
24,2018-04-01 21:59:56,687559.6851320434,687559.6851320434,687559.6851320434,679355.824715046,702159.102202676,2723.3178645375515,2723.3178645375515,2723.3178645375515,2723.3178645375515,2723.3178645375515,2723.3178645375515,2723.3178645375515,2723.3178645375515,2723.3178645375515,690283.002996581
25,2018-04-01 22:59:59,688707.0339437323,688707.0339437323,688707.0339437323,682112.5466593917,703984.4208390466,4142.280180025777,4142.280180025777,4142.280180025777,4142.280180025777,4142.280180025777,4142.280180025777,4142.280180025777,4142.280180025777,4142.280180025777,692849.314123758
26,2018-04-01 23:59:59,689853.427427518,689853.427427518,689853.427427518,685116.1031889215,706602.0347659006,5248.146479978081,5248.146479978081,5248.146479978081,5248.146479978081,5248.146479978081,5248.146479978081,5248.146479978081,5248.146479978081,5248.146479978081,695101.5739074961
27,2018-04-02 00:59:59,690999.8209113035,690999.8209113035,690999.8209113035,686283.1482157252,708207.5604085495,5898.397730432087,5898.397730432087,5898.397730432087,5898.397730432087,5898.397730432087,5898.397730432087,5898.397730432087,5898.397730432087,5898.397730432087,696898.2186417356
28,2018-04-02 01:59:59,692146.2143950892,692146.2143950892,692146.2143950892,687057.3661905591,709604.205341197,5967.279961806371,5967.279961806371,5967.279961806371,5967.279961806371,5967.279961806371,5967.279961806371,5967.279961806371,5967.279961806371,5967.279961806371,698113.4943568956
29,2018-04-02 02:59:59,693292.6078788748,693292.6078788748,693292.6078788748,687500.3079727978,708989.4770163303,5462.155193535904,5462.155193535904,5462.155193535904,5462.155193535904,5462.155193535904,5462.155193535904,5462.155193535904,5462.155193535904,5462.155193535904,698754.7630724107
30,2018-04-02 03:59:59,694439.0847153628,694439.0847153628,694439.0847153628,688561.312992224,709951.4000245066,4552.355746179573,4552.355746179573,4552.355746179573,4552.355746179573,4552.355746179573,4552.355746179573,4552.355746179573,4552.355746179573,4552.355746179573,698991.4404615423
31,2018-04-02 04:59:59,695585.5615518508,695585.5615518508,695585.5615518508,688824.3861396866,709623.5206129818,3434.8618140770554,3434.8618140770554,3434.8618140770554,3434.8618140770554,3434.8618140770554,3434.8618140770554,3434.8618140770554,3434.8618140770554,3434.8618140770554,699020.4233659278
32,2018-04-02 05:59:59,696732.0383883388,696732.0383883388,696732.0383883388,687018.2865254743,709310.3341272816,2155.088930150368,2155.088930150368,2155.088930150368,2155.088930150368,2155.088930150368,2155.088930150368,2155.088930150368,2155.088930150368,2155.088930150368,698887.1273184891
33,2018-04-02 06:59:57,697877.8782932509,697877.8782932509,697877.8782932509,688581.0044713798,709554.6953990909,589.8488992997501,589.8488992997501,589.8488992997501,589.8488992997501,589.8488992997501,589.8488992997501,589.8488992997501,589.8488992997501,589.8488992997501,698467.7271925507
34,2018-04-02 07:59:57,699024.3551297389,699024.3551297389,699024.3551297389,686864.4302829421,708651.6787636438,-1346.3590341334457,-1346.3590341334457,-1346.3590341334457,-1346.3590341334457,-1346.3590341334457,-1346.3590341334457,-1346.3590341334457,-1346.3590341334457,-1346.3590341334457,697677.9960956054
35,2018-04-02 08:59:57,700170.8319662268,700170.8319662268,700170.8319662268,686796.3333530135,707661.3820554424,-3436.916481387657,-3436.916481387657,-3436.916481387657,-3436.916481387657,-3436.916481387657,-3436.916481387657,-3436.916481387657,-3436.916481387657,-3436.916481387657,696733.9154848391
36,2018-04-02 09:59:59,701317.9457342905,701317.9457342905,701317.9457342905,685383.143631835,707913.6618341168,-5135.994148719458,-5135.994148719458,-5135.994148719458,-5135.994148719458,-5135.994148719458,-5135.994148719458,-5135.994148719458,-5135.994148719458,-5135.994148719458,696181.951585571
37,2018-04-02 10:59:59,702464.4225707786,702464.4225707786,702464.4225707786,685661.6856027916,707888.5924468634,-5864.018905165019,-5864.018905165019,-5864.018905165019,-5864.018905165019,-5864.018905165019,-5864.018905165019,-5864.018905165019,-5864.018905165019,-5864.018905165019,696600.4036656136
38,2018-04-02 11:59:59,703620.072935831,703620.072935831,703620.072935831,687080.4518511199,709318.2570636324,-5437.930830342439,-5437.930830342439,-5437.930830342439,-5437.930830342439,-5437.930830342439,-5437.930830342439,-5437.930830342439,-5437.930830342439,-5437.930830342439,698182.1421054886
39,2018-04-02 12:59:59,704775.7233008835,704775.7233008835,704775.7233008835,690424.0280868663,711693.5481476806,-4256.465873262896,-4256.465873262896,-4256.465873262896,-4256.465873262896,-4256.465873262896,-4256.465873262896,-4256.465873262896,-4256.465873262896,-4256.465873262896,700519.2574276207
40,2018-04-02 13:59:56,705930.4106239652,705930.4106239652,705930.4106239652,691481.7217804084,713966.4211070915,-3066.43429021451,-3066.43429021451,-3066.43429021451,-3066.43429021451,-3066.43429021451,-3066.43429021451,-3066.43429021451,-3066.43429021451,-3066.43429021451,702863.9763337506
41,2018-04-02 14:59:58,707086.7030169981,707086.7030169981,707086.7030169981,693740.491498834,715632.1670366201,-2459.3127940947284,-2459.3127940947284,-2459.3127940947284,-2459.3127940947284,-2459.3127940947284,-2459.3127940947284,-2459.3127940947284,-2459.3127940947284,-2459.3127940947284,704627.3902229035
42,2018-04-02 15:59:59,708242.674396041,708242.674396041,708242.674396041,694291.083170905,716572.008575333,-2501.7188778353025,-2501.7188778353025,-2501.7188778353025,-2501.7188778353025,-2501.7188778353025,-2501.7188778353025,-2501.7188778353025,-2501.7188778353025,-2501.7188778353025,705740.9555182057
