,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yhat
0,2018-04-02 06:59:59,0.0021271299168197826,0.0021271299168197826,0.0021271299168197826,0.002095905155542974,0.0021472564583735767,-5.708592823612419e-06,-5.708592823612419e-06,-5.708592823612419e-06,-5.708592823612419e-06,-5.708592823612419e-06,-5.708592823612419e-06,-5.708592823612419e-06,-5.708592823612419e-06,-5.708592823612419e-06,0.0021214213239961702
1,2018-04-02 07:59:57,0.0021299970102519003,0.0021299970102519003,0.0021299970102519003,0.0020969096210164393,0.002144971560995994,-9.058767338453558e-06,-9.058767338453558e-06,-9.058767338453558e-06,-9.058767338453558e-06,-9.058767338453558e-06,-9.058767338453558e-06,-9.058767338453558e-06,-9.058767338453558e-06,-9.058767338453558e-06,0.002120938242913447
2,2018-04-02 08:59:58,0.0021328664942566406,0.0021328664942566406,0.0021328664942566406,0.002098317524010292,0.002145415491249145,-1.1897480766608818e-05,-1.1897480766608818e-05,-1.1897480766608818e-05,-1.1897480766608818e-05,-1.1897480766608818e-05,-1.1897480766608818e-05,-1.1897480766608818e-05,-1.1897480766608818e-05,-1.1897480766608818e-05,0.002120969013490032
3,2018-04-02 09:59:55,0.0021357327908312173,0.0021357327908312173,0.0021357327908312173,0.002096439316296915,0.0021473647184053163,-1.3175076703906947e-05,-1.3175076703906947e-05,-1.3175076703906947e-05,-1.3175076703906947e-05,-1.3175076703906947e-05,-1.3175076703906947e-05,-1.3175076703906947e-05,-1.3175076703906947e-05,-1.3175076703906947e-05,0.0021225577141273104
4,2018-04-02 10:59:59,0.0021386046654085803,0.0021386046654085803,0.0021386046654085803,0.002102428856220653,0.0021502752755406616,-1.2478974700413874e-05,-1.2478974700413874e-05,-1.2478974700413874e-05,-1.2478974700413874e-05,-1.2478974700413874e-05,-1.2478974700413874e-05,-1.2478974700413874e-05,-1.2478974700413874e-05,-1.2478974700413874e-05,0.0021261256907081664
5,2018-04-02 11:59:57,0.0021414717588406984,0.0021414717588406984,0.0021414717588406984,0.002106602562532298,0.0021558941071970978,-1.0492209901012889e-05,-1.0492209901012889e-05,-1.0492209901012889e-05,-1.0492209901012889e-05,-1.0492209901012889e-05,-1.0492209901012889e-05,-1.0492209901012889e-05,-1.0492209901012889e-05,-1.0492209901012889e-05,0.0021309795489396857
6,2018-04-02 12:59:59,0.0021443420397029792,0.0021443420397029792,0.0021443420397029792,0.002110888270259561,0.0021595958271049902,-8.576374190128922e-06,-8.576374190128922e-06,-8.576374190128922e-06,-8.576374190128922e-06,-8.576374190128922e-06,-8.576374190128922e-06,-8.576374190128922e-06,-8.576374190128922e-06,-8.576374190128922e-06,0.00213576566551285
7,2018-04-02 13:59:58,0.002147209929988136,0.002147209929988136,0.002147209929988136,0.002113855596296295,0.0021641938556782917,-7.661879974212055e-06,-7.661879974212055e-06,-7.661879974212055e-06,-7.661879974212055e-06,-7.661879974212055e-06,-7.661879974212055e-06,-7.661879974212055e-06,-7.661879974212055e-06,-7.661879974212055e-06,0.0021395480500139242
8,2018-04-02 14:59:54,0.0021500754297006748,0.0021500754297006748,0.0021500754297006748,0.002119190067148391,0.002168008017171748,-7.317812178174407e-06,-7.317812178174407e-06,-7.317812178174407e-06,-7.317812178174407e-06,-7.317812178174407e-06,-7.317812178174407e-06,-7.317812178174407e-06,-7.317812178174407e-06,-7.317812178174407e-06,0.0021427576175225005
9,2018-04-02 15:59:57,0.00215294650741599,0.00215294650741599,0.00215294650741599,0.0021231700483697147,0.002172528510999442,-5.931971608584009e-06,-5.931971608584009e-06,-5.931971608584009e-06,-5.931971608584009e-06,-5.931971608584009e-06,-5.931971608584009e-06,-5.931971608584009e-06,-5.931971608584009e-06,-5.931971608584009e-06,0.002147014535807406
10,2018-04-02 16:59:56,0.002155814397701147,0.002155814397701147,0.002155814397701147,0.0021291883616873604,0.0021794160116994036,-1.9967737429368904e-06,-1.9967737429368904e-06,-1.9967737429368904e-06,-1.9967737429368904e-06,-1.9967737429368904e-06,-1.9967737429368904e-06,-1.9967737429368904e-06,-1.9967737429368904e-06,-1.9967737429368904e-06,0.0021538176239582103
11,2018-04-02 17:59:57,0.002158683881701383,0.002158683881701383,0.002158683881701383,0.0021398606728244723,0.002187472795131889,4.493527324112512e-06,4.493527324112512e-06,4.493527324112512e-06,4.493527324112512e-06,4.493527324112512e-06,4.493527324112512e-06,4.493527324112512e-06,4.493527324112512e-06,4.493527324112512e-06,0.002163177409025496
12,2018-04-02 18:59:51,0.002161547787698842,0.002161547787698842,0.002161547787698842,0.002149027682287009,0.0021984713508520913,1.1661479327492197e-05,1.1661479327492197e-05,1.1661479327492197e-05,1.1661479327492197e-05,1.1661479327492197e-05,1.1661479327492197e-05,1.1661479327492197e-05,1.1661479327492197e-05,1.1661479327492197e-05,0.0021732092670263344
