,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yhat
0,2018-03-04 15:43:08,2.591868013718854e-05,2.591868013718854e-05,2.591868013718854e-05,2.5562875727297688e-05,2.6579804819316108e-05,1.6740063406212635e-07,1.6740063406212635e-07,1.6740063406212635e-07,1.6740063406212635e-07,1.6740063406212635e-07,1.6740063406212635e-07,1.6740063406212635e-07,1.6740063406212635e-07,1.6740063406212635e-07,2.6086080771250667e-05
1,2018-03-04 16:18:02,2.5920175294638152e-05,2.5920175294638155e-05,2.5920175294638155e-05,2.559361787170902e-05,2.6604340615410065e-05,1.9966926097357962e-07,1.9966926097357962e-07,1.9966926097357962e-07,1.9966926097357962e-07,1.9966926097357962e-07,1.9966926097357962e-07,1.9966926097357962e-07,1.9966926097357962e-07,1.9966926097357962e-07,2.6119844555611733e-05
2,2018-03-04 17:57:59,2.5924457271345563e-05,2.5924457271345563e-05,2.5924457271345563e-05,2.569031785590401e-05,2.666017107980609e-05,2.4293109833881856e-07,2.4293109833881856e-07,2.4293109833881856e-07,2.4293109833881856e-07,2.4293109833881856e-07,2.4293109833881856e-07,2.4293109833881856e-07,2.4293109833881856e-07,2.4293109833881856e-07,2.6167388369684382e-05
3,2018-03-04 18:54:17,2.592686923021127e-05,2.592686923021127e-05,2.592686923021127e-05,2.563618850699718e-05,2.6641392640628054e-05,2.449499166431343e-07,2.449499166431343e-07,2.449499166431343e-07,2.449499166431343e-07,2.449499166431343e-07,2.449499166431343e-07,2.449499166431343e-07,2.449499166431343e-07,2.449499166431343e-07,2.6171819146854403e-05
4,2018-03-04 21:58:13,2.5934749152662993e-05,2.5934749152662993e-05,2.5934749152662993e-05,2.534045445068135e-05,2.6384383028492177e-05,-7.680341379676253e-08,-7.680341379676253e-08,-7.680341379676253e-08,-7.680341379676253e-08,-7.680341379676253e-08,-7.680341379676253e-08,-7.680341379676253e-08,-7.680341379676253e-08,-7.680341379676253e-08,2.5857945738866232e-05
5,2018-03-04 22:00:21,2.5934840547196685e-05,2.5934840547196685e-05,2.5934840547196685e-05,2.536304044856136e-05,2.639436563443959e-05,-8.35191559538909e-08,-8.35191559538909e-08,-8.35191559538909e-08,-8.35191559538909e-08,-8.35191559538909e-08,-8.35191559538909e-08,-8.35191559538909e-08,-8.35191559538909e-08,-8.35191559538909e-08,2.5851321391242792e-05
6,2018-03-04 23:31:13,2.5938733383116112e-05,2.5938733383116112e-05,2.5938733383116112e-05,2.5070903839711353e-05,2.610891533917111e-05,-3.2006614378124434e-07,-3.2006614378124434e-07,-3.2006614378124434e-07,-3.2006614378124434e-07,-3.2006614378124434e-07,-3.2006614378124434e-07,-3.2006614378124434e-07,-3.2006614378124434e-07,-3.2006614378124434e-07,2.5618667239334867e-05
7,2018-03-05 00:59:07,2.5942499124098968e-05,2.5942499124098968e-05,2.5942499124098968e-05,2.5106667725887725e-05,2.6158438832760843e-05,-3.1142303702458044e-07,-3.1142303702458044e-07,-3.1142303702458044e-07,-3.1142303702458044e-07,-3.1142303702458044e-07,-3.1142303702458044e-07,-3.1142303702458044e-07,-3.1142303702458044e-07,-3.1142303702458044e-07,2.5631076087074388e-05
8,2018-03-05 01:53:01,2.5944808264474123e-05,2.5944808264474123e-05,2.5944808264474123e-05,2.525905272501257e-05,2.6243653271335172e-05,-1.9180249083345174e-07,-1.9180249083345174e-07,-1.9180249083345174e-07,-1.9180249083345174e-07,-1.9180249083345174e-07,-1.9180249083345174e-07,-1.9180249083345174e-07,-1.9180249083345174e-07,-1.9180249083345174e-07,2.5753005773640672e-05
9,2018-03-05 02:59:21,2.5947650063698957e-05,2.5947650063698957e-05,2.5947650063698957e-05,2.542406304098502e-05,2.6436688865285888e-05,-2.892003883071304e-08,-2.892003883071304e-08,-2.892003883071304e-08,-2.892003883071304e-08,-2.892003883071304e-08,-2.892003883071304e-08,-2.892003883071304e-08,-2.892003883071304e-08,-2.892003883071304e-08,2.5918730024868245e-05
10,2018-03-05 03:08:04,2.5948023496109656e-05,2.5948023496109656e-05,2.5948023496109656e-05,2.5405100670956202e-05,2.641009753216471e-05,-1.2115548930094648e-08,-1.2115548930094648e-08,-1.2115548930094648e-08,-1.2115548930094648e-08,-1.2115548930094648e-08,-1.2115548930094648e-08,-1.2115548930094648e-08,-1.2115548930094648e-08,-1.2115548930094648e-08,2.5935907947179563e-05
11,2018-03-05 04:53:35,2.5952543956132878e-05,2.595254395613288e-05,2.595254395613288e-05,2.5495528897066462e-05,2.6496772478586365e-05,4.8211990040962313e-08,4.8211990040962313e-08,4.8211990040962313e-08,4.8211990040962313e-08,4.8211990040962313e-08,4.8211990040962313e-08,4.8211990040962313e-08,4.8211990040962313e-08,4.8211990040962313e-08,2.600075594617384e-05
