,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yhat
0,2018-03-04 15:43:08,2.592783199485144e-05,2.592783199485144e-05,2.592783199485144e-05,2.5609962986444653e-05,2.6586426749167666e-05,1.224540784501912e-07,1.224540784501912e-07,1.224540784501912e-07,6.050024568610853e-08,6.050024568610853e-08,6.050024568610853e-08,1.829543241362997e-07,1.829543241362997e-07,1.829543241362997e-07,1.829543241362997e-07,1.829543241362997e-07,1.829543241362997e-07,2.611078631898774e-05
1,2018-03-04 16:18:02,2.592929887979751e-05,2.5929298879797507e-05,2.5929298879797507e-05,2.5524333465235746e-05,2.6506839252329975e-05,1.956805074239797e-07,1.956805074239797e-07,1.956805074239797e-07,-1.0656101175667985e-07,-1.0656101175667985e-07,-1.0656101175667985e-07,8.911949566729986e-08,8.911949566729986e-08,8.911949566729986e-08,8.911949566729986e-08,8.911949566729986e-08,8.911949566729986e-08,2.601841837546481e-05
2,2018-03-04 17:57:59,2.5933499886971143e-05,2.5933499886971143e-05,2.5933499886971143e-05,2.555434217243855e-05,2.6544922260490462e-05,2.5638617241311705e-07,2.5638617241311705e-07,2.5638617241311705e-07,-1.1036508935454749e-07,-1.1036508935454749e-07,-1.1036508935454749e-07,1.4602108305856962e-07,1.4602108305856962e-07,1.4602108305856962e-07,1.4602108305856962e-07,1.4602108305856962e-07,1.4602108305856962e-07,2.6079520970029712e-05
3,2018-03-04 18:54:17,2.5935866237185004e-05,2.5935866237185004e-05,2.5935866237185004e-05,2.5488081226760117e-05,2.6457635360676063e-05,1.9471867139339988e-07,1.9471867139339988e-07,1.9471867139339988e-07,-1.2637079780281914e-07,-1.2637079780281914e-07,-1.2637079780281914e-07,6.834787359058073e-08,6.834787359058073e-08,6.834787359058073e-08,6.834787359058073e-08,6.834787359058073e-08,6.834787359058073e-08,2.6004214110775585e-05
4,2018-03-04 21:58:13,2.5943597155172037e-05,2.5943597155172037e-05,2.5943597155172037e-05,2.5396947707875543e-05,2.6378639182872108e-05,-2.6386332916318747e-09,-2.6386332916318747e-09,-2.6386332916318747e-09,-4.4348898055603567e-08,-4.4348898055603567e-08,-4.4348898055603567e-08,-4.698753134723544e-08,-4.698753134723544e-08,-4.698753134723544e-08,-4.698753134723544e-08,-4.698753134723544e-08,-4.698753134723544e-08,2.58966096238248e-05
5,2018-03-04 22:00:21,2.594368682149157e-05,2.594368682149157e-05,2.594368682149157e-05,2.5312657168997708e-05,2.6320333523375034e-05,-8.986235394062925e-09,-8.986235394062925e-09,-8.986235394062925e-09,-1.1868115213079046e-07,-1.1868115213079046e-07,-1.1868115213079046e-07,-1.2766738752485338e-07,-1.2766738752485338e-07,-1.2766738752485338e-07,-1.2766738752485338e-07,-1.2766738752485338e-07,-1.2766738752485338e-07,2.5816019433966716e-05
6,2018-03-04 23:31:13,2.5947506046289075e-05,2.5947506046289075e-05,2.5947506046289075e-05,2.5165309510344844e-05,2.613232289056709e-05,-3.256002224334671e-07,-3.256002224334671e-07,-3.256002224334671e-07,2.163954437242251e-08,2.163954437242251e-08,2.163954437242251e-08,-3.039606780610446e-07,-3.039606780610446e-07,-3.039606780610446e-07,-3.039606780610446e-07,-3.039606780610446e-07,-3.039606780610446e-07,2.564354536822803e-05
7,2018-03-05 00:59:07,2.595120057916534e-05,2.595120057916534e-05,2.595120057916534e-05,2.5099211029002247e-05,2.6101164608902836e-05,-3.4231781109184586e-07,-3.4231781109184586e-07,-3.4231781109184586e-07,-3.594514589241077e-08,-3.594514589241077e-08,-3.594514589241077e-08,-3.7826295698425666e-07,-3.7826295698425666e-07,-3.7826295698425666e-07,-3.7826295698425666e-07,-3.7826295698425666e-07,-3.7826295698425666e-07,2.5572937622181084e-05
8,2018-03-05 01:53:01,2.5953466054956363e-05,2.5953466054956367e-05,2.5953466054956367e-05,2.516027059444177e-05,2.617442558566261e-05,-1.5925797740215531e-07,-1.5925797740215531e-07,-1.5925797740215531e-07,-1.257724492449375e-07,-1.257724492449375e-07,-1.257724492449375e-07,-2.8503042664709295e-07,-2.8503042664709295e-07,-2.8503042664709295e-07,-2.8503042664709295e-07,-2.8503042664709295e-07,-2.8503042664709295e-07,2.566843562830927e-05
9,2018-03-05 02:59:21,2.5956254117308952e-05,2.5956254117308952e-05,2.5956254117308952e-05,2.5526383476859387e-05,2.6450831739374557e-05,4.1813468480777326e-08,4.1813468480777326e-08,4.1813468480777326e-08,-1.154831121384826e-08,-1.154831121384826e-08,-1.154831121384826e-08,3.0265157266929067e-08,3.0265157266929067e-08,3.0265157266929067e-08,3.0265157266929067e-08,3.0265157266929067e-08,3.0265157266929067e-08,2.5986519274575882e-05
